校下・地区,センター,燃やすごみ,燃やさないごみ,資源,あきびん
岩田団地,東部清掃事業所,月 木,水1,火2 火4,水3
岩田町1丁目,東部清掃事業所,月 木,水1,火2 火4,水3
岩田町2丁目,東部清掃事業所,月 木,水1,火2 火4,水3
岩田町3丁目,東部清掃事業所,月 木,水1,火2 火4,水3
岩田町4丁目,東部清掃事業所,月 木,水1,火2 火4,水3
裏川団地,東部清掃事業所,月 木,水1,火2 火4,水3
大州浜,東部清掃事業所,月 木,水1,火2 火4,水3
大津町1丁目,東部清掃事業所,月 木,水1,火2 火4,水3
大津町2丁目,東部清掃事業所,月 木,水1,火2 火4,水3
大津町3丁目,東部清掃事業所,月 木,水1,火2 火4,水3
古ケ鶴,東部清掃事業所,月 木,水1,火2 火4,水3
中津留,東部清掃事業所,月 木,水1,火2 火4,水3
西新地,東部清掃事業所,月 木,水1,火2 火4,水3
花津留,東部清掃事業所,月 木,水1,火2 火4,水3
東津留,東部清掃事業所,月 木,水1,火2 火4,水3
東浜1丁目,東部清掃事業所,月 木,水1,火2 火4,水3
東浜2丁目,東部清掃事業所,月 木,水1,火2 火4,水3
南津留,東部清掃事業所,月 木,水1,火2 火4,水3
東大分,東部清掃事業所,火 金,水2,月2 月4,水1
白滝	
高城	
高城東	
萩原1丁目	
萩原2丁目	
萩原3丁目	
萩原4丁目	
牧一丁目	
牧二丁目	
牧三丁目	
牧上	
南萩原	
日岡,東部清掃事業所,火 金,水2,月2 月4,水1
新貝	
新高松西	
新高松東	
高松	
西原	
花高松	
向原西	
向原東	
桃園,東部清掃事業所,月 木,水3,金2 金4,水1
岡	
岡新町	
千歳	
高城南町	
寺崎	
仲西	
三川上西	
三川上東	
三川下西	
三川下東	
桃園団地	
山津	
明野,東部清掃事業所,火 金,月2,月1 月3,水4
明野旭町	
明野北町	
明野さつき町	
明野高尾	
明野西町	
明野東町	
明野日の出	
明野緑町	
明野南町	
明野元町	
池ノ平	
高城台	
高城団地	
天然町	
則小池	
パークシティ明野	
東原	
鶴崎,東部清掃事業所,火 金,水3,木2 木4,水1
乙津	
小中島	
国宗	
三軒町	
下鶴崎一	
下鶴崎二	
中央区	
寺司一	
寺司二	
徳島	
西町	
堀川本町	
山川	
三佐,東部清掃事業所,月 木,金1,金2 金4,水3
家島	
海原	
三佐二	
三佐三	
三佐四	
別保,東部清掃事業所,火 金,水1,木1 木3,水4
葛木団地	
花の木	
皆春	
皆春西区	
森	
森住宅団地	
森町	
森町団地	
森町西	
明治,東部清掃事業所,火 金,水1,木2 木4,水3
猪野下	
猪野中	
猪野二	
猪野南	
岡原	
葛木	
久保山町	
小池原	
小池原二	
下組	
新明治	
中筋	
パークヒルズ久保山	
浜田団地	
ひまわり団地	
二目川	
法勝台	
高田,東部清掃事業所,月 木,水4,火1 火3,水2
上徳丸	
亀甲	
下徳丸	
関門	
常行	
鶴瀬	
堂園	
南	
松岡,東部清掃事業所,火 金,月3,月2 月4,水1
池ノ上	
大津留	
尾崎	
上松岡	
京が丘	
京が丘第2区	
毛井	
公園通り1丁目	
公園通り2丁目	
公園通り3丁目	
公園通り4丁目	
公園通り5丁目	
菰田	
下松岡	
成松	
舟本	
真萱	
門前	
川添,東部清掃事業所,月 木,火3,金1 金3,水4
金谷	
杵河内	
迫	
迫阿蘇入	
浄土寺	
新田	
種具	
広内	
宮河内ハイランド北	
宮河内ハイランド西	
宮河内ハイランド東	
